iter	Logloss
0	0.5948569299
1	0.5241880711
2	0.472532473
3	0.4328077617
4	0.4044881877
5	0.3845682925
6	0.3700099079
7	0.3583448153
8	0.3487240606
9	0.3420929409
10	0.3374378619
11	0.3334598136
12	0.3302220665
13	0.3275194547
14	0.3256920864
15	0.3240582227
16	0.322676848
17	0.3214987317
18	0.3206103421
19	0.3199263826
20	0.3190095627
21	0.3183619796
22	0.3178280627
23	0.3173736883
24	0.3170018396
25	0.3166787655
26	0.316426718
27	0.3162099127
28	0.3159349771
29	0.3156734902
30	0.3153949625
31	0.3151735644
32	0.3149647524
33	0.3147971691
34	0.3146220816
35	0.314469957
36	0.3143544983
37	0.3142134859
38	0.3140829538
39	0.3139670418
40	0.3138699386
41	0.3137599319
42	0.3135439387
43	0.3134239874
44	0.313345853
45	0.313244959
46	0.3131104987
47	0.3130594233
48	0.3129897084
49	0.3129452276
50	0.3129124358
51	0.3128391263
52	0.3127711498
53	0.3126981688
54	0.3126307539
55	0.3125806395
56	0.3125541501
57	0.3124914323
58	0.312416203
59	0.312349496
60	0.3122807087
61	0.3122155258
62	0.3121648839
63	0.312108505
64	0.3120372005
65	0.3119291269
66	0.3118487246
67	0.3117836641
68	0.3117515342
69	0.3116871619
70	0.3116220574
71	0.3115665811
72	0.3115228119
73	0.3114914983
74	0.3114517734
75	0.3114141571
76	0.3113516688
77	0.3113005783
78	0.3112867612
79	0.3112500627
80	0.3112467147
81	0.3112430528
82	0.311239281
83	0.3112343749
84	0.311165694
85	0.3110948149
86	0.3110848618
87	0.3110565775
88	0.3110516287
89	0.3110196524
90	0.310958089
91	0.3109224716
92	0.3108643714
93	0.3108558785
94	0.310796933
95	0.3107722995
96	0.3107287355
97	0.3106722339
98	0.3106260167
99	0.3106251381
100	0.3105785366
101	0.31054647
102	0.3105052766
103	0.3104699407
104	0.3104259357
105	0.3103959424
106	0.3103506155
107	0.3102889876
108	0.3102495507
109	0.3102107443
110	0.310164171
111	0.3101182408
112	0.3100656574
113	0.3100622035
114	0.3100382504
115	0.3099919423
116	0.3099330182
117	0.309901644
118	0.3098510557
119	0.3098143781
120	0.309761234
121	0.309722938
122	0.3096916537
123	0.3096604903
124	0.3096591011
125	0.3096246803
126	0.3095864772
127	0.3095207689
128	0.309519234
129	0.3095178583
130	0.3095169398
131	0.3094866559
132	0.3094854707
133	0.3094829014
134	0.3094656271
135	0.3094266834
136	0.3093902229
137	0.3093861348
138	0.309328079
139	0.3092855299
140	0.3092513125
141	0.3092511935
142	0.3092263814
143	0.3091902355
144	0.3091699319
145	0.3091384217
146	0.3091380228
147	0.3090857401
148	0.3090549189
149	0.3090534589
150	0.3090174755
151	0.3089840998
152	0.3089772862
153	0.3089515667
154	0.3089122401
155	0.3088766331
156	0.3088565109
157	0.3088171505
158	0.3087714847
159	0.3087340013
160	0.3086884147
161	0.3086589105
162	0.3086225322
163	0.3086181859
164	0.3085929756
165	0.3085452783
166	0.30850922
167	0.3085075512
168	0.3084751102
169	0.3084378066
170	0.3084047871
171	0.3083964503
172	0.3083781552
173	0.3083314647
174	0.308330446
175	0.3082748427
176	0.3082287084
177	0.3082205361
178	0.3081901559
179	0.3081770678
180	0.3081404091
181	0.3081398442
182	0.3081037073
183	0.3080553668
184	0.3080229917
185	0.3079809938
186	0.3079439065
187	0.3079165714
188	0.3079107419
189	0.3078853867
190	0.3078630367
191	0.307825857
192	0.3078255809
193	0.3078221524
194	0.307797234
195	0.3077624033
196	0.3077218261
197	0.3076752245
198	0.3076179629
199	0.3076031787
200	0.3075660532
201	0.3075280329
202	0.3074803579
203	0.3074405274
204	0.3074327937
205	0.3073906998
206	0.3073473594
207	0.3073470494
208	0.3073150655
209	0.3072688987
210	0.3072668661
211	0.3072611942
212	0.3072217939
213	0.3071925124
214	0.3071889587
215	0.3071670031
216	0.3071423845
217	0.3071052765
218	0.3070857566
219	0.3070447699
220	0.3070176106
221	0.3069801933
222	0.3069423079
223	0.3069013846
224	0.306865279
225	0.3068498227
226	0.3068191405
227	0.3067799252
228	0.3067674048
229	0.3067184065
230	0.3066952768
231	0.3066609573
232	0.3066263931
233	0.3066237207
234	0.3066178936
235	0.3065865459
236	0.3065387535
237	0.3065297587
238	0.3065221924
239	0.3064914578
240	0.3064767366
241	0.3064600094
242	0.3064275129
243	0.3064253051
244	0.3063983808
245	0.3063557788
246	0.3063072181
247	0.3062646878
248	0.3062377238
249	0.3061949935
250	0.3061942131
251	0.3061715973
252	0.3061496377
253	0.3061122048
254	0.3060696824
255	0.3060386953
256	0.3060096728
257	0.3059675578
258	0.3059261586
259	0.3058959378
260	0.3058935671
261	0.305868263
262	0.3058343745
263	0.3058085415
264	0.3057632533
265	0.3057358531
266	0.3057224191
267	0.3056928714
268	0.3056747687
269	0.3056667609
270	0.3056427687
271	0.3056153114
272	0.3055821221
273	0.3055414786
274	0.3055041458
275	0.3054572927
276	0.3054533954
277	0.3054338346
278	0.3054229801
279	0.3053874999
280	0.3053494116
281	0.3053099352
282	0.305307212
283	0.305273525
284	0.305236499
285	0.305206435
286	0.305159817
287	0.3051418473
288	0.3051297227
289	0.30510854
290	0.3050809955
291	0.305075271
292	0.3050421868
293	0.3050230889
294	0.305022338
295	0.3050088442
296	0.3049731646
297	0.3049478347
298	0.3049259497
299	0.3048777112
